billing_id,company_id,billing_month,provider,ai_tool_id,model_id,cost_center,usage_quantity,total_cost,currency
B000001,C01,2025-06,Google Cloud,T12,M17,CC-C01-D01,599690,1.87,USD
B000002,C01,2025-06,Google Cloud,T12,M17,CC-C01-D02,379558,0.74,USD
B000003,C01,2025-06,Google Cloud,T12,M17,CC-C01-D04,849720,2.73,USD
B000004,C01,2025-06,Google Cloud,T12,M17,CC-C01-D05,3889052,11.46,USD
B000005,C01,2025-06,Google Cloud,T12,M17,CC-C01-D06,95384,0.33,USD
B000006,C01,2025-06,Google Cloud,T12,M17,CC-C01-D08,289345,1.22,USD
B000007,C01,2025-06,Google Cloud,T12,M17,CC-C01-D10,356712,0.78,USD
B000008,C01,2025-06,Google Cloud,T12,M18,CC-C01-D01,724777,0.63,USD
B000009,C01,2025-06,Google Cloud,T12,M18,CC-C01-D04,86853,0.11,USD
B000010,C01,2025-06,Google Cloud,T12,M18,CC-C01-D05,1099945,1.22,USD
B000011,C01,2025-06,Google Cloud,T12,M18,CC-C01-D06,808943,0.85,USD
B000012,C01,2025-06,Google Cloud,T12,M18,CC-C01-D08,131629,0.19,USD
B000013,C01,2025-06,Google Cloud,T12,M18,CC-C01-D09,449075,0.47,USD
B000014,C01,2025-06,OpenAI,T13,M19,CC-C01-D01,1644535,14.11,USD
B000015,C01,2025-06,OpenAI,T13,M19,CC-C01-D02,161787,1.15,USD
B000016,C01,2025-06,OpenAI,T13,M19,CC-C01-D04,5212,0.04,USD
B000017,C01,2025-06,OpenAI,T13,M19,CC-C01-D05,4787636,47.14,USD
B000018,C01,2025-06,OpenAI,T13,M19,CC-C01-D06,739357,7.02,USD
B000019,C01,2025-06,OpenAI,T13,M19,CC-C01-D08,1024202,12.02,USD
B000020,C01,2025-06,OpenAI,T13,M19,,727943,7.33,USD
B000021,C01,2025-06,OpenAI,T13,M20,CC-C01-D01,1831629,0.62,USD
B000022,C01,2025-06,OpenAI,T13,M20,CC-C01-D02,317909,0.12,USD
B000023,C01,2025-06,OpenAI,T13,M20,CC-C01-D05,2287484,0.97,USD
B000024,C01,2025-06,OpenAI,T13,M20,CC-C01-D06,571398,0.19,USD
B000025,C01,2025-06,OpenAI,T13,M20,CC-C01-D08,334930,0.16,USD
