company_id,employee_id,ai_tool_id,license_type,assigned_date,expiration_date,license_status
C01,C01-E0157,T02,Enterprise,2025-07-09,,Ativa
C01,C01-E0023,T02,Enterprise,2025-07-02,2026-07-02,Expirada
C01,C01-E0219,T02,Professional,2025-06-25,,Ativa
C01,C01-E0064,T02,Enterprise,2025-07-14,2026-07-14,Ativa
C01,C01-E0156,T02,Enterprise,2025-06-29,2026-06-29,Expirada
C01,C01-E0161,T02,Standard,2025-07-11,2026-07-11,Expirada
C01,C01-E0304,T02,Standard,2025-07-22,2026-07-22,Expirada
C01,C01-E0176,T02,Professional,2025-06-16,2026-06-16,Expirada
C01,C01-E0122,T02,Enterprise,2025-07-06,2026-07-06,Expirada
C01,C01-E0345,T02,Professional,2025-06-23,2026-06-23,Expirada
C01,C01-E0202,T02,Enterprise,2025-07-22,2026-07-22,Ativa
C01,C01-E0076,T02,Enterprise,2025-06-07,2026-06-07,Expirada
C01,C01-E0159,T02,Standard,2025-07-09,2026-07-09,Expirada
C01,C01-E0303,T02,Enterprise,2025-07-21,,Ativa
C01,C01-E0338,T02,Professional,2025-07-27,2026-07-27,Expirada
C01,C01-E0251,T02,Standard,2025-08-05,2026-08-05,Ativa
C01,C01-E0163,T02,Standard,2025-06-29,2026-06-29,Ativa
C01,C01-E0106,T02,Professional,2025-06-17,2026-06-17,Ativa
C01,C01-E0203,T02,Standard,2025-07-25,2026-07-25,Expirada
C01,C01-E0337,T02,Professional,2025-07-04,2026-07-04,Expirada
C01,C01-E0287,T02,Professional,2025-07-15,2026-07-15,Ativa
C01,C01-E0293,T02,Standard,2025-07-30,,Ativa
C01,C01-E0044,T02,Standard,2025-06-13,,Ativa
C01,C01-E0086,T02,Enterprise,2025-07-15,2026-07-15,Expirada
C01,C01-E0136,T02,Standard,2025-07-11,2026-07-11,Expirada
C01,C01-E0253,T02,Standard,2025-06-17,,Ativa
C01,C01-E0099,T02,Standard,2025-06-26,2026-06-26,Expirada
C01,C01-E0101,T02,Professional,2025-06-23,2026-06-23,Expirada
C01,C01-E0201,T02,Standard,2025-06-27,,Ativa
C01,C01-E0320,T02,Standard,2025-07-19,,Ativa
C01,C01-E0226,T02,Enterprise,2025-07-25,2026-07-25,Expirada
C01,C01-E0319,T02,Enterprise,2025-06-27,2026-06-27,Ativa
C01,C01-E0046,T02,Enterprise,2025-07-05,,Ativa
C01,C01-E0168,T02,Enterprise,2025-07-26,2026-07-26,Expirada
C01,C01-E0047,T02,Enterprise,2025-07-29,2026-07-29,Ativa
C01,C01-E0276,T02,Standard,2025-07-10,2026-07-10,Ativa
C01,C01-E0236,T02,Professional,2025-06-27,2026-06-27,Expirada
C01,C01-E0351,T02,Enterprise,2025-07-18,2026-07-18,Expirada
C01,C01-E0274,T02,Standard,2025-07-09,2026-07-09,Expirada
C01,C01-E0068,T02,Professional,2025-06-11,,Ativa
C01,C01-E0116,T02,Enterprise,2025-07-11,,Ativa
C01,C01-E0140,T02,Enterprise,2025-07-03,2026-07-03,Expirada
C01,C01-E0277,T02,Professional,2025-06-24,2026-06-24,Ativa
C01,C01-E0340,T02,Standard,2025-07-07,2026-07-07,Expirada
C01,C01-E0306,T02,Professional,2025-07-12,2026-07-12,Expirada
C01,C01-E0264,T02,Enterprise,2025-07-12,2026-07-12,Ativa
C01,C01-E0040,T02,Standard,2025-07-14,2026-07-14,Expirada
C01,C01-E0155,T02,Enterprise,2025-08-04,,Ativa
C01,C01-E0325,T02,Enterprise,2025-07-02,2026-07-02,Ativa
C01,C01-E0314,T02,Standard,2025-07-25,,Ativa
C01,C01-E0145,T02,Professional,2025-07-26,2026-07-26,Expirada
C01,C01-E0073,T02,Standard,2025-07-16,2026-07-16,Ativa
C01,C01-E0090,T02,Standard,2025-06-23,2026-06-23,Ativa
C01,C01-E0186,T02,Enterprise,2025-07-28,2026-07-28,Expirada
C01,C01-E0224,T02,Standard,2025-06-16,,Ativa
C01,C01-E0071,T02,Professional,2025-07-28,2026-07-28,Expirada
C01,C01-E0160,T02,Standard,2025-07-21,2026-07-21,Ativa
C01,C01-E0102,T02,Enterprise,2025-07-07,2026-07-07,Ativa
C01,C01-E0134,T02,Enterprise,2025-06-25,2026-06-25,Expirada
C01,C01-E0301,T02,Professional,2025-08-01,2026-08-01,Ativa
C01,C01-E0089,T02,Enterprise,2025-06-24,2026-06-24,Expirada
