build_id,project_id,timestamp,status,duration,tests_executed,tests_failed
BLD-C01-P01-000001,C01-P01,2025-06-09 15:11:29,Sucesso,375,224,0
BLD-C01-P01-000002,C01-P01,2025-06-30 10:33:50,Sucesso,332,555,0
BLD-C01-P01-000003,C01-P01,2025-06-12 12:54:13,Sucesso,412,655,0
BLD-C01-P01-000004,C01-P01,2025-06-05 20:51:25,Sucesso,241,555,0
BLD-C01-P01-000005,C01-P01,2025-06-12 14:08:31,Sucesso,211,356,0
BLD-C01-P01-000006,C01-P01,2025-06-25 18:55:15,Sucesso,202,355,0
BLD-C01-P01-000007,C01-P01,2025-06-01 14:50:18,Falha,467,817,8
BLD-C01-P01-000008,C01-P01,2025-06-16 10:24:27,Sucesso,20,104,0
BLD-C01-P01-000009,C01-P01,2025-06-12 09:58:15,Sucesso,372,62,0
BLD-C01-P01-000010,C01-P01,2025-06-10 17:15:23,Sucesso,317,202,0
BLD-C01-P01-000011,C01-P01,2025-06-22 11:11:05,Sucesso,651,449,0
BLD-C01-P01-000012,C01-P01,2025-06-10 16:30:37,Sucesso,280,528,0
BLD-C01-P01-000013,C01-P01,2025-06-14 18:03:53,Sucesso,273,459,0
BLD-C01-P01-000014,C01-P01,2025-06-12 14:01:38,Sucesso,390,566,1
BLD-C01-P01-000015,C01-P01,2025-06-27 11:55:47,Sucesso,356,153,0
BLD-C01-P01-000016,C01-P01,2025-06-14 17:25:43,Sucesso,160,379,0
BLD-C01-P01-000017,C01-P01,2025-06-02 09:00:36,Sucesso,441,376,0
BLD-C01-P01-000018,C01-P01,2025-06-22 08:14:05,Falha,440,383,8
BLD-C01-P01-000019,C01-P01,2025-06-28 13:02:32,Sucesso,421,216,0
BLD-C01-P01-000020,C01-P01,2025-06-22 08:11:21,Falha,351,249,3
BLD-C01-P01-000021,C01-P01,2025-06-19 17:13:52,Falha,202,224,13
BLD-C01-P01-000022,C01-P01,2025-06-28 19:30:30,Falha,406,389,9
BLD-C01-P01-000023,C01-P01,2025-06-29 14:48:36,Sucesso,261,696,0
BLD-C01-P01-000024,C01-P01,2025-06-04 08:43:17,Sucesso,300,578,0
BLD-C01-P01-000025,C01-P01,2025-06-19 11:51:19,Sucesso,60,287,0
BLD-C01-P01-000026,C01-P01,2025-06-18 15:30:42,Sucesso,405,637,0
BLD-C01-P01-000027,C01-P01,2025-06-29 11:32:21,Sucesso,320,194,0
BLD-C01-P01-000028,C01-P01,2025-06-15 17:42:22,Sucesso,492,706,0
BLD-C01-P01-000029,C01-P01,2025-06-12 19:07:53,Sucesso,296,659,0
BLD-C01-P01-000030,C01-P01,2025-06-08 14:44:51,Sucesso,394,610,0
BLD-C01-P01-000031,C01-P01,2025-06-18 16:22:35,Sucesso,163,180,0
BLD-C01-P01-000032,C01-P01,2025-06-13 13:47:33,Sucesso,333,675,0
BLD-C01-P01-000033,C01-P01,2025-06-06 12:39:26,Falha,353,96,3
BLD-C01-P01-000034,C01-P01,2025-06-14 08:37:27,Sucesso,384,62,0
BLD-C01-P01-000035,C01-P01,2025-06-30 20:36:23,Sucesso,522,683,0
BLD-C01-P01-000036,C01-P01,2025-06-08 07:09:27,Sucesso,20,90,0
BLD-C01-P01-000037,C01-P01,2025-06-19 11:10:41,Sucesso,26,302,0
BLD-C01-P01-000038,C01-P01,2025-06-28 09:16:09,Falha,393,528,7
BLD-C01-P01-000039,C01-P01,2025-06-28 14:53:04,Falha,378,155,17
BLD-C01-P01-000040,C01-P01,2025-06-02 20:41:26,Sucesso,343,260,0
BLD-C01-P01-000041,C01-P01,2025-06-05 17:03:29,Sucesso,265,386,0
BLD-C01-P01-000042,C01-P01,2025-06-22 15:46:26,Sucesso,472,136,0
BLD-C01-P01-000043,C01-P01,2025-06-12 15:47:49,Sucesso,256,508,0
BLD-C01-P01-000044,C01-P01,2025-06-06 07:05:08,Falha,223,389,3
BLD-C01-P01-000045,C01-P01,2025-06-07 13:30:11,Sucesso,376,441,0
BLD-C01-P01-000046,C01-P01,2025-06-14 15:17:05,Sucesso,289,304,0
BLD-C01-P01-000047,C01-P01,2025-06-03 16:05:05,Falha,231,647,1
BLD-C01-P01-000048,C01-P01,2025-06-30 19:23:43,Sucesso,110,439,0
BLD-C01-P01-000049,C01-P01,2025-06-04 11:14:29,Sucesso,190,372,0
BLD-C01-P01-000050,C01-P01,2025-06-08 12:45:53,Falha,318,483,1
BLD-C01-P01-000051,C01-P01,2025-06-05 21:05:27,Sucesso,353,73,0
BLD-C01-P01-000052,C01-P01,2025-06-03 09:20:03,Sucesso,213,179,0
BLD-C01-P01-000053,C01-P01,2025-06-28 16:27:48,Sucesso,240,547,0
BLD-C01-P01-000054,C01-P01,2025-06-07 10:55:38,Sucesso,531,394,0
BLD-C01-P01-000055,C01-P01,2025-06-20 07:41:29,Sucesso,112,419,0
BLD-C01-P01-000056,C01-P01,2025-06-24 16:24:59,Sucesso,367,60,0
BLD-C01-P01-000057,C01-P01,2025-06-26 07:21:45,Sucesso,276,173,0
BLD-C01-P01-000058,C01-P01,2025-06-06 13:07:26,Sucesso,92,104,0
BLD-C01-P01-000059,C01-P01,2025-06-29 10:21:50,Sucesso,163,672,0
BLD-C01-P01-000060,C01-P01,2025-06-07 10:26:11,Sucesso,453,330,0
BLD-C01-P01-000061,C01-P01,2025-06-10 12:16:50,Sucesso,85,320,0
BLD-C01-P01-000062,C01-P01,2025-06-01 11:42:54,Falha,186,447,5
BLD-C01-P01-000063,C01-P01,2025-06-24 19:51:07,Sucesso,469,308,0
BLD-C01-P01-000064,C01-P01,2025-06-23 18:30:51,Sucesso,274,146,0
BLD-C01-P01-000065,C01-P01,2025-06-08 10:07:09,Sucesso,327,372,0
BLD-C01-P01-000066,C01-P01,2025-06-25 17:30:07,Sucesso,392,709,0
BLD-C01-P01-000067,C01-P01,2025-06-29 13:12:36,Sucesso,450,676,0
BLD-C01-P01-000068,C01-P01,2025-06-10 11:34:17,Sucesso,198,90,0
BLD-C01-P01-000069,C01-P01,2025-06-17 20:00:16,Falha,339,66,1
BLD-C01-P01-000070,C01-P01,2025-06-28 19:40:14,Sucesso,396,383,0
BLD-C01-P01-000071,C01-P01,2025-06-10 07:38:04,Sucesso,221,628,0
BLD-C01-P01-000072,C01-P01,2025-06-27 14:51:30,Sucesso,445,335,0
BLD-C01-P01-000073,C01-P01,2025-06-20 20:12:29,Sucesso,50,200,0
BLD-C01-P01-000074,C01-P01,2025-06-05 08:20:01,Sucesso,282,321,0
BLD-C01-P01-000075,C01-P01,2025-06-28 16:39:37,Sucesso,558,10,0
BLD-C01-P01-000076,C01-P01,2025-06-06 17:55:27,Sucesso,403,971,2
BLD-C01-P01-000077,C01-P01,2025-06-04 16:35:38,Sucesso,340,160,0
BLD-C01-P01-000078,C01-P01,2025-06-28 14:08:14,Sucesso,292,656,0
BLD-C01-P01-000079,C01-P01,2025-06-20 19:56:50,Sucesso,500,579,0
BLD-C01-P01-000080,C01-P01,2025-06-26 17:12:20,Falha,368,48,9
BLD-C01-P01-000081,C01-P01,2025-06-24 13:37:46,Falha,423,327,2
BLD-C01-P01-000082,C01-P01,2025-06-17 17:10:00,Sucesso,352,236,0
BLD-C01-P01-000083,C01-P01,2025-06-28 16:19:27,Sucesso,400,476,0
BLD-C01-P01-000084,C01-P01,2025-06-15 14:56:34,Falha,33,1057,3
BLD-C01-P01-000085,C01-P01,2025-06-27 07:56:10,Sucesso,548,148,0
BLD-C01-P01-000086,C01-P01,2025-06-12 19:36:47,Sucesso,234,10,0
BLD-C01-P01-000087,C01-P01,2025-06-02 16:44:37,Sucesso,544,327,0
BLD-C01-P01-000088,C01-P01,2025-06-17 15:53:02,Sucesso,176,372,0
BLD-C01-P01-000089,C01-P01,2025-06-16 17:55:58,Sucesso,507,547,0
BLD-C01-P01-000090,C01-P01,2025-06-22 10:37:48,Sucesso,399,368,0
BLD-C01-P01-000091,C01-P01,2025-06-03 09:30:20,Sucesso,118,608,0
BLD-C01-P01-000092,C01-P01,2025-06-15 10:49:44,Sucesso,298,812,0
BLD-C01-P01-000093,C01-P01,2025-06-18 20:18:21,Sucesso,162,458,0
BLD-C01-P01-000094,C01-P01,2025-06-11 09:11:35,Sucesso,319,195,0
BLD-C01-P01-000095,C01-P01,2025-06-19 19:30:01,Falha,316,365,1
BLD-C01-P01-000096,C01-P01,2025-06-26 15:56:32,Sucesso,89,271,0
BLD-C01-P01-000097,C01-P01,2025-06-04 11:19:04,Sucesso,490,329,0
BLD-C01-P01-000098,C01-P01,2025-06-20 09:35:46,Sucesso,436,738,0
BLD-C01-P01-000099,C01-P01,2025-06-05 14:10:39,Sucesso,170,465,0
BLD-C01-P01-000100,C01-P01,2025-06-17 17:42:05,Falha,303,174,2
BLD-C01-P01-000101,C01-P01,2025-06-02 21:11:06,Falha,451,677,6
BLD-C01-P01-000102,C01-P01,2025-06-10 15:31:54,Sucesso,589,374,0
