deployment_id,project_id,timestamp,environment,status
DEP-C01-P01-000001,C01-P01,2025-06-27 12:34:30,Staging,Revertido
DEP-C01-P01-000002,C01-P01,2025-06-08 07:04:04,Dev,Falha
DEP-C01-P01-000003,C01-P01,2025-06-23 20:30:28,Producao,Sucesso
DEP-C01-P01-000004,C01-P01,2025-06-28 08:06:44,Dev,Sucesso
DEP-C01-P01-000005,C01-P01,2025-06-24 13:55:55,Dev,Revertido
DEP-C01-P01-000006,C01-P01,2025-06-15 15:01:22,Dev,Sucesso
DEP-C01-P01-000007,C01-P01,2025-06-08 17:14:23,Dev,Sucesso
DEP-C01-P01-000008,C01-P01,2025-06-21 18:46:36,Dev,Sucesso
DEP-C01-P01-000009,C01-P01,2025-06-11 07:26:52,Staging,Revertido
DEP-C01-P01-000010,C01-P01,2025-06-09 14:21:28,Dev,Sucesso
DEP-C01-P01-000011,C01-P01,2025-06-15 21:32:47,Dev,Sucesso
DEP-C01-P01-000012,C01-P01,2025-06-13 17:14:41,Dev,Sucesso
DEP-C01-P01-000013,C01-P01,2025-06-06 09:51:53,Producao,Sucesso
DEP-C01-P01-000014,C01-P01,2025-06-05 18:21:42,Dev,Sucesso
DEP-C01-P01-000015,C01-P01,2025-06-19 09:52:35,Producao,Falha
DEP-C01-P01-000016,C01-P01,2025-06-29 09:18:16,Dev,Sucesso
DEP-C01-P01-000017,C01-P01,2025-06-06 12:09:03,Staging,Sucesso
DEP-C01-P01-000018,C01-P01,2025-06-17 20:02:53,Staging,Sucesso
DEP-C01-P01-000019,C01-P01,2025-06-30 21:32:25,Dev,Sucesso
DEP-C01-P01-000020,C01-P01,2025-06-07 10:54:17,Dev,Sucesso
DEP-C01-P01-000021,C01-P01,2025-07-20 17:58:45,Dev,Sucesso
DEP-C01-P01-000022,C01-P01,2025-07-28 18:56:17,Producao,Sucesso
DEP-C01-P01-000023,C01-P01,2025-07-20 07:39:40,Dev,Sucesso
DEP-C01-P01-000024,C01-P01,2025-07-14 17:49:09,Staging,Sucesso
DEP-C01-P01-000025,C01-P01,2025-07-31 17:30:04,Producao,Sucesso
DEP-C01-P01-000026,C01-P01,2025-07-03 07:43:21,Dev,Sucesso
DEP-C01-P01-000027,C01-P01,2025-07-17 08:59:42,Dev,Sucesso
DEP-C01-P01-000028,C01-P01,2025-07-04 21:05:30,Staging,Sucesso
DEP-C01-P01-000029,C01-P01,2025-07-12 21:59:02,Dev,Sucesso
DEP-C01-P01-000030,C01-P01,2025-07-26 17:51:24,Producao,Sucesso
DEP-C01-P01-000031,C01-P01,2025-07-03 07:18:59,Dev,Sucesso
DEP-C01-P01-000032,C01-P01,2025-07-02 18:35:29,Dev,Sucesso
DEP-C01-P01-000033,C01-P01,2025-07-30 09:35:36,Dev,Falha
DEP-C01-P01-000034,C01-P01,2025-07-16 08:58:49,Dev,Sucesso
DEP-C01-P01-000035,C01-P01,2025-07-15 08:12:08,Dev,Sucesso
DEP-C01-P01-000036,C01-P01,2025-07-17 17:29:32,Staging,Sucesso
DEP-C01-P01-000037,C01-P01,2025-07-28 14:02:10,Dev,Sucesso
DEP-C01-P01-000038,C01-P01,2025-07-05 12:44:10,Staging,Sucesso
DEP-C01-P01-000039,C01-P01,2025-07-31 16:53:03,Staging,Revertido
DEP-C01-P01-000040,C01-P01,2025-08-28 09:46:25,Dev,Sucesso
DEP-C01-P01-000041,C01-P01,2025-08-19 14:14:20,Dev,Sucesso
DEP-C01-P01-000042,C01-P01,2025-08-05 10:08:48,Dev,Sucesso
DEP-C01-P01-000043,C01-P01,2025-08-18 13:52:34,Dev,Falha
DEP-C01-P01-000044,C01-P01,2025-08-28 21:29:55,Staging,Sucesso
DEP-C01-P01-000045,C01-P01,2025-08-20 17:35:05,Producao,Sucesso
DEP-C01-P01-000046,C01-P01,2025-08-10 13:32:01,Dev,Sucesso
DEP-C01-P01-000047,C01-P01,2025-08-21 10:01:42,Dev,Sucesso
DEP-C01-P01-000048,C01-P01,2025-08-16 14:04:59,Producao,Sucesso
DEP-C01-P01-000049,C01-P01,2025-08-07 07:34:01,Producao,Sucesso
DEP-C01-P01-000050,C01-P01,2025-08-14 17:25:34,Staging,Sucesso
DEP-C01-P01-000051,C01-P01,2025-08-12 21:50:25,Producao,Sucesso
DEP-C01-P01-000052,C01-P01,2025-08-11 10:22:58,Dev,Falha
DEP-C01-P01-000053,C01-P01,2025-08-09 16:51:25,Dev,Sucesso
DEP-C01-P01-000054,C01-P01,2025-08-03 21:55:42,Producao,Sucesso
DEP-C01-P01-000055,C01-P01,2025-08-14 17:59:14,Producao,Sucesso
DEP-C01-P01-000056,C01-P01,2025-09-04 09:50:33,Dev,Revertido
DEP-C01-P01-000057,C01-P01,2025-09-08 16:40:01,Staging,Sucesso
DEP-C01-P01-000058,C01-P01,2025-09-21 11:17:48,Producao,Sucesso
DEP-C01-P01-000059,C01-P01,2025-09-18 09:26:50,Staging,Sucesso
DEP-C01-P01-000060,C01-P01,2025-09-09 17:29:50,Staging,Sucesso
DEP-C01-P01-000061,C01-P01,2025-09-29 21:15:29,Dev,Sucesso
DEP-C01-P01-000062,C01-P01,2025-09-24 09:01:19,Staging,Sucesso
DEP-C01-P01-000063,C01-P01,2025-09-06 11:21:55,Dev,Sucesso
DEP-C01-P01-000064,C01-P01,2025-09-30 18:13:57,Dev,Sucesso
DEP-C01-P01-000065,C01-P01,2025-09-29 07:05:44,Staging,Sucesso
DEP-C01-P01-000066,C01-P01,2025-09-19 09:30:59,Dev,Sucesso
DEP-C01-P01-000067,C01-P01,2025-09-22 11:53:05,Staging,Sucesso
DEP-C01-P01-000068,C01-P01,2025-09-18 09:31:57,Dev,Sucesso
DEP-C01-P01-000069,C01-P01,2025-09-29 16:55:41,Staging,Sucesso
DEP-C01-P01-000070,C01-P01,2025-09-21 19:02:57,Dev,Sucesso
DEP-C01-P01-000071,C01-P01,2025-10-11 09:51:11,Staging,Sucesso
DEP-C01-P01-000072,C01-P01,2025-10-21 07:07:04,Staging,Sucesso
DEP-C01-P01-000073,C01-P01,2025-10-09 15:14:11,Dev,Sucesso
DEP-C01-P01-000074,C01-P01,2025-10-11 13:56:37,Dev,Sucesso
DEP-C01-P01-000075,C01-P01,2025-10-20 16:44:11,Staging,Sucesso
DEP-C01-P01-000076,C01-P01,2025-10-06 16:14:28,Dev,Sucesso
DEP-C01-P01-000077,C01-P01,2025-10-20 11:34:50,Dev,Sucesso
DEP-C01-P01-000078,C01-P01,2025-10-07 09:25:49,Producao,Falha
DEP-C01-P01-000079,C01-P01,2025-10-06 20:29:36,Dev,Sucesso
DEP-C01-P01-000080,C01-P01,2025-10-05 21:35:30,Producao,Sucesso
DEP-C01-P01-000081,C01-P01,2025-10-28 10:01:16,Producao,Sucesso
DEP-C01-P01-000082,C01-P01,2025-10-20 09:25:23,Producao,Sucesso
DEP-C01-P01-000083,C01-P01,2025-10-28 18:54:16,Producao,Sucesso
DEP-C01-P01-000084,C01-P01,2025-10-13 14:23:47,Dev,Sucesso
