employee_id,company_id,department_id,job_role,seniority,hire_date,cost_center,active
C01-E0001,C01,C01-D02,Engenheiro(a) DevOps,Pleno,2026-03-01,CC-C01-D02,False
C01-E0002,C01,C01-D10,Analista Financeiro,Junior,2023-12-10,CC-C01-D10,True
C01-E0003,C01,C01-D07,Analista de Marketing,Junior,2025-06-20,CC-C01-D07,True
C01-E0004,C01,C01-D05,Analista de Dados,Senior,2025-12-12,CC-C01-D05,True
C01-E0005,C01,C01-D01,Desenvolvedor(a) Frontend,Pleno,2020-10-11,CC-C01-D01,True
C01-E0006,C01,C01-D01,Desenvolvedor(a) Frontend,Senior,2022-02-06,CC-C01-D01,True
C01-E0007,C01,C01-D01,Engenheiro(a) de Software,Junior,2023-12-22,CC-C01-D01,True
C01-E0008,C01,C01-D08,Especialista em Atendimento,Pleno,2026-05-16,CC-C01-D08,False
C01-E0009,C01,C01-D05,Analista de Dados,Pleno,2021-09-14,CC-C01-D05,True
C01-E0010,C01,C01-D06,Executivo(a) de Vendas,Pleno,2024-01-12,CC-C01-D06,True
C01-E0011,C01,C01-D01,Desenvolvedor(a) Full Stack,Especialista,2025-07-17,CC-C01-D01,True
C01-E0012,C01,C01-D10,Analista Financeiro,Gerente,2024-02-07,CC-C01-D10,True
C01-E0013,C01,C01-D08,Especialista em Atendimento,Pleno,2025-12-16,CC-C01-D08,True
C01-E0014,C01,C01-D01,Desenvolvedor(a) Backend,Senior,2020-08-29,CC-C01-D01,True
C01-E0015,C01,C01-D01,Desenvolvedor(a) Backend,Pleno,2023-02-27,CC-C01-D01,True
C01-E0016,C01,C01-D01,Desenvolvedor(a) Full Stack,Pleno,2024-04-15,CC-C01-D01,True
C01-E0017,C01,C01-D02,Engenheiro(a) DevOps,Senior,2022-05-29,CC-C01-D02,True
C01-E0018,C01,C01-D04,Engenheiro(a) de Testes,Senior,2025-09-01,CC-C01-D04,True
C01-E0019,C01,C01-D03,Product Manager,Gerente,2023-12-26,CC-C01-D03,True
C01-E0020,C01,C01-D01,Desenvolvedor(a) Full Stack,Gerente,2025-03-15,CC-C01-D01,True
C01-E0021,C01,C01-D05,Analista de Dados,Junior,2023-06-14,CC-C01-D05,True
C01-E0022,C01,C01-D01,Desenvolvedor(a) Backend,Junior,2024-07-11,CC-C01-D01,True
C01-E0023,C01,C01-D01,Desenvolvedor(a) Frontend,Pleno,2024-08-11,CC-C01-D01,True
C01-E0024,C01,C01-D02,Engenheiro(a) de Infraestrutura,Gerente,2020-12-04,CC-C01-D02,True
C01-E0025,C01,C01-D03,Analista de Produto,Senior,2024-11-19,CC-C01-D03,True
C01-E0026,C01,C01-D08,Analista de Suporte,Junior,2023-11-16,CC-C01-D08,True
C01-E0027,C01,C01-D01,Desenvolvedor(a) Full Stack,Pleno,2021-12-11,CC-C01-D01,True
C01-E0028,C01,C01-D04,Analista de QA,Pleno,2022-12-01,CC-C01-D04,True
C01-E0029,C01,C01-D05,Engenheiro(a) de Dados,Pleno,2022-01-03,CC-C01-D05,False
C01-E0030,C01,C01-D01,Engenheiro(a) de Software,Junior,2024-11-03,CC-C01-D01,True
