issue_id,project_id,employee_id,issue_type,priority,created_at,closed_at,status
ISS-C01-P01-000001,C01-P01,C01-E0031,Bug,Media,2025-06-11 16:00:29,,Aberto
ISS-C01-P01-000002,C01-P01,C01-E0146,Bug,Media,2025-06-10 12:22:05,2025-07-21 12:22:05,Fechado
ISS-C01-P01-000003,C01-P01,C01-E0125,Bug,Media,2025-06-01 21:06:57,,Em Andamento
ISS-C01-P01-000004,C01-P01,C01-E0152,Feature,Baixa,2025-06-08 15:02:47,,Em Andamento
ISS-C01-P01-000005,C01-P01,C01-E0032,Bug,Baixa,2025-06-22 15:21:22,,Em Andamento
ISS-C01-P01-000006,C01-P01,C01-E0283,Bug,Media,2025-06-02 20:10:30,2025-06-28 20:10:30,Fechado
ISS-C01-P01-000007,C01-P01,C01-E0097,Debito Tecnico,Media,2025-06-25 19:35:09,,Aberto
ISS-C01-P01-000008,C01-P01,C01-E0090,Feature,Alta,2025-06-26 21:31:13,2025-06-29 21:31:13,Fechado
ISS-C01-P01-000009,C01-P01,C01-E0066,Bug,Baixa,2025-06-23 17:19:05,2025-06-25 17:19:05,Fechado
ISS-C01-P01-000010,C01-P01,C01-E0096,Debito Tecnico,Media,2025-06-08 18:10:39,2025-06-23 18:10:39,Fechado
ISS-C01-P01-000011,C01-P01,C01-E0226,Feature,Baixa,2025-06-01 14:36:39,,Em Andamento
ISS-C01-P01-000012,C01-P01,C01-E0295,Bug,Baixa,2025-06-29 13:14:13,2025-07-22 13:14:13,Fechado
ISS-C01-P01-000013,C01-P01,C01-E0146,Feature,Baixa,2025-06-09 14:29:12,,Em Andamento
ISS-C01-P01-000014,C01-P01,C01-E0319,Debito Tecnico,Alta,2025-06-24 21:09:13,,Em Andamento
ISS-C01-P01-000015,C01-P01,C01-E0247,Bug,Baixa,2025-06-08 20:29:06,,Aberto
ISS-C01-P01-000016,C01-P01,C01-E0354,Debito Tecnico,Media,2025-06-01 11:51:11,2025-06-10 11:51:11,Fechado
ISS-C01-P01-000017,C01-P01,C01-E0335,Debito Tecnico,Media,2025-06-13 09:32:48,2025-07-18 09:32:48,Fechado
ISS-C01-P01-000018,C01-P01,C01-E0189,Chore,Alta,2025-06-29 13:42:08,2025-07-21 13:42:08,Fechado
ISS-C01-P01-000019,C01-P01,C01-E0161,Feature,Baixa,2025-06-09 18:27:55,,Aberto
ISS-C01-P01-000020,C01-P01,C01-E0107,Feature,Baixa,2025-06-12 11:45:41,,Em Andamento
ISS-C01-P01-000021,C01-P01,C01-E0042,Debito Tecnico,Media,2025-06-27 21:06:04,,Em Andamento
ISS-C01-P01-000022,C01-P01,C01-E0005,Bug,Alta,2025-06-10 17:40:26,2025-07-04 17:40:26,Fechado
ISS-C01-P01-000023,C01-P01,C01-E0090,Chore,Alta,2025-06-29 12:03:04,,Aberto
ISS-C01-P01-000024,C01-P01,C01-E0235,Bug,Media,2025-06-07 18:59:17,2025-07-16 18:59:17,Fechado
ISS-C01-P01-000025,C01-P01,C01-E0233,Chore,Media,2025-06-16 19:34:57,2025-07-17 19:34:57,Fechado
ISS-C01-P01-000026,C01-P01,C01-E0232,Feature,Alta,2025-06-15 16:52:14,,Aberto
ISS-C01-P01-000027,C01-P01,C01-E0261,Bug,Alta,2025-06-09 10:40:17,,Aberto
ISS-C01-P01-000028,C01-P01,C01-E0169,Chore,Alta,2025-07-11 20:19:29,,Em Andamento
ISS-C01-P01-000029,C01-P01,C01-E0234,Feature,Alta,2025-07-11 19:59:46,,Em Andamento
ISS-C01-P01-000030,C01-P01,C01-E0032,Bug,Media,2025-07-25 20:45:08,,Em Andamento
ISS-C01-P01-000031,C01-P01,C01-E0260,Debito Tecnico,Alta,2025-07-06 20:19:10,,Aberto
ISS-C01-P01-000032,C01-P01,C01-E0210,Bug,Media,2025-07-15 11:49:54,,Em Andamento
ISS-C01-P01-000033,C01-P01,C01-E0060,Debito Tecnico,Baixa,2025-07-23 17:29:15,2025-08-13 17:29:15,Fechado
ISS-C01-P01-000034,C01-P01,C01-E0286,Feature,Baixa,2025-07-01 19:06:26,2025-07-03 19:06:26,Fechado
ISS-C01-P01-000035,C01-P01,C01-E0023,Chore,Alta,2025-07-19 09:28:40,2025-08-11 09:28:40,Fechado
ISS-C01-P01-000036,C01-P01,C01-E0330,Bug,Alta,2025-07-06 09:45:37,,Aberto
ISS-C01-P01-000037,C01-P01,C01-E0055,Chore,Media,2025-07-07 17:15:21,,Em Andamento
ISS-C01-P01-000038,C01-P01,C01-E0033,Debito Tecnico,Critica,2025-07-27 17:07:40,2025-09-08 17:07:40,Fechado
ISS-C01-P01-000039,C01-P01,C01-E0317,Feature,Media,2025-07-28 15:55:26,,Aberto
ISS-C01-P01-000040,C01-P01,C01-E0059,Chore,Media,2025-07-22 17:04:32,,Aberto
ISS-C01-P01-000041,C01-P01,C01-E0094,Bug,Media,2025-07-25 11:16:52,,Aberto
ISS-C01-P01-000042,C01-P01,C01-E0015,Bug,Media,2025-07-27 20:27:43,2025-07-28 20:27:43,Fechado
ISS-C01-P01-000043,C01-P01,C01-E0363,Feature,Media,2025-07-02 20:42:30,,Em Andamento
ISS-C01-P01-000044,C01-P01,C01-E0269,Debito Tecnico,Baixa,2025-07-19 14:26:23,,Aberto
ISS-C01-P01-000045,C01-P01,C01-E0125,Bug,Baixa,2025-07-18 11:45:52,2025-07-19 11:45:52,Fechado
ISS-C01-P01-000046,C01-P01,C01-E0073,Bug,Media,2025-07-30 16:38:22,2025-08-28 16:38:22,Fechado
ISS-C01-P01-000047,C01-P01,C01-E0178,Bug,Alta,2025-07-05 16:56:51,2025-08-11 16:56:51,Fechado
ISS-C01-P01-000048,C01-P01,C01-E0090,Debito Tecnico,Alta,2025-07-22 19:13:23,2025-08-02 19:13:23,Fechado
ISS-C01-P01-000049,C01-P01,C01-E0339,Bug,Critica,2025-07-22 09:59:18,,Aberto
ISS-C01-P01-000050,C01-P01,C01-E0209,Bug,Media,2025-07-29 15:49:49,2025-08-14 15:49:49,Fechado
ISS-C01-P01-000051,C01-P01,C01-E0233,Feature,Baixa,2025-07-07 07:30:47,,Em Andamento
