billing_id,company_id,billing_month,provider,ai_tool_id,model_id,cost_center,usage_quantity,total_cost,currency
B000001,C01,2025-06,Google Cloud,T12,M17,CC-C01-D01,599690,10.37,BRL
B000002,C01,2025-06,Google Cloud,T12,M17,CC-C01-D02,379558,4.1,BRL
B000003,C01,2025-06,Google Cloud,T12,M17,CC-C01-D04,849720,15.14,BRL
B000004,C01,2025-06,Google Cloud,T12,M17,CC-C01-D05,3889052,63.56,BRL
B000005,C01,2025-06,Google Cloud,T12,M17,CC-C01-D06,95384,1.83,BRL
B000006,C01,2025-06,Google Cloud,T12,M17,CC-C01-D08,289345,6.77,BRL
B000007,C01,2025-06,Google Cloud,T12,M17,CC-C01-D10,356712,4.33,BRL
B000008,C01,2025-06,Google Cloud,T12,M18,CC-C01-D01,724777,3.49,BRL
B000009,C01,2025-06,Google Cloud,T12,M18,CC-C01-D04,86853,0.61,BRL
B000010,C01,2025-06,Google Cloud,T12,M18,CC-C01-D05,1099945,6.77,BRL
B000011,C01,2025-06,Google Cloud,T12,M18,CC-C01-D06,808943,4.71,BRL
B000012,C01,2025-06,Google Cloud,T12,M18,CC-C01-D08,131629,1.05,BRL
B000013,C01,2025-06,Google Cloud,T12,M18,CC-C01-D09,449075,2.61,BRL
B000014,C01,2025-06,OpenAI,T13,M19,CC-C01-D01,1644535,78.26,BRL
B000015,C01,2025-06,OpenAI,T13,M19,CC-C01-D02,161787,6.38,BRL
B000016,C01,2025-06,OpenAI,T13,M19,CC-C01-D04,5212,0.22,BRL
B000017,C01,2025-06,OpenAI,T13,M19,CC-C01-D05,4787636,261.46,BRL
B000018,C01,2025-06,OpenAI,T13,M19,CC-C01-D06,739357,38.94,BRL
B000019,C01,2025-06,OpenAI,T13,M19,CC-C01-D08,1024202,66.67,BRL
B000020,C01,2025-06,OpenAI,T13,M19,,727943,40.66,BRL
B000021,C01,2025-06,OpenAI,T13,M20,CC-C01-D01,1831629,3.44,BRL
B000022,C01,2025-06,OpenAI,T13,M20,CC-C01-D02,317909,0.67,BRL
B000023,C01,2025-06,OpenAI,T13,M20,CC-C01-D05,2287484,5.38,BRL
B000024,C01,2025-06,OpenAI,T13,M20,CC-C01-D06,571398,1.05,BRL
B000025,C01,2025-06,OpenAI,T13,M20,CC-C01-D08,334930,0.89,BRL
B000026,C01,2025-06,OpenAI,T13,M21,CC-C01-D01,227118,1.66,BRL
B000027,C01,2025-06,OpenAI,T13,M21,CC-C01-D03,58829,0.28,BRL
B000028,C01,2025-06,OpenAI,T13,M21,CC-C01-D04,143809,0.55,BRL
B000029,C01,2025-06,OpenAI,T13,M21,CC-C01-D05,2192529,12.04,BRL
B000030,C01,2025-06,OpenAI,T13,M21,CC-C01-D06,302830,2.05,BRL
B000031,C01,2025-07,Google Cloud,T12,M17,CC-C01-D01,594112,9.78,BRL
B000032,C01,2025-07,Google Cloud,T12,M17,CC-C01-D03,48739,0.61,BRL
B000033,C01,2025-07,Google Cloud,T12,M17,CC-C01-D05,2595564,46.54,BRL
B000034,C01,2025-07,Google Cloud,T12,M17,CC-C01-D06,862627,12.49,BRL
B000035,C01,2025-07,Google Cloud,T12,M17,CC-C01-D07,39812,0.61,BRL
B000036,C01,2025-07,Google Cloud,T12,M17,CC-C01-D08,675250,12.6,BRL
B000037,C01,2025-07,Google Cloud,T12,M17,,78487,1.16,BRL
B000038,C01,2025-07,Google Cloud,T12,M18,CC-C01-D01,875371,3.92,BRL
B000039,C01,2025-07,Google Cloud,T12,M18,CC-C01-D04,335693,2.32,BRL
B000040,C01,2025-07,Google Cloud,T12,M18,CC-C01-D05,1151104,6.25,BRL
B000041,C01,2025-07,Google Cloud,T12,M18,CC-C01-D06,146005,1.0,BRL
B000042,C01,2025-07,Google Cloud,T12,M18,CC-C01-D07,315895,1.77,BRL
B000043,C01,2025-07,Google Cloud,T12,M18,CC-C01-D08,353304,2.05,BRL
B000044,C01,2025-07,OpenAI,T13,M19,CC-C01-D01,1929076,101.05,BRL
B000045,C01,2025-07,OpenAI,T13,M19,CC-C01-D02,697200,36.21,BRL
B000046,C01,2025-07,OpenAI,T13,M19,CC-C01-D04,694055,49.7,BRL
B000047,C01,2025-07,OpenAI,T13,M19,CC-C01-D05,5967998,307.79,BRL
B000048,C01,2025-07,OpenAI,T13,M19,CC-C01-D06,101354,4.81,BRL
B000049,C01,2025-07,OpenAI,T13,M19,CC-C01-D07,274093,16.64,BRL
B000050,C01,2025-07,OpenAI,T13,M19,CC-C01-D08,82334,5.42,BRL
B000051,C01,2025-07,OpenAI,T13,M20,CC-C01-D01,1451151,2.6,BRL
B000052,C01,2025-07,OpenAI,T13,M20,CC-C01-D04,265002,0.33,BRL
B000053,C01,2025-07,OpenAI,T13,M20,CC-C01-D05,934302,1.71,BRL
B000054,C01,2025-07,OpenAI,T13,M20,CC-C01-D06,151461,0.44,BRL
B000055,C01,2025-07,OpenAI,T13,M20,CC-C01-D08,362047,0.94,BRL
B000056,C01,2025-07,OpenAI,T13,M20,CC-C01-D10,120642,0.22,BRL
B000057,C01,2025-07,OpenAI,T13,M21,CC-C01-D01,540671,3.26,BRL
B000058,C01,2025-07,OpenAI,T13,M21,CC-C01-D02,76246,0.28,BRL
B000059,C01,2025-07,OpenAI,T13,M21,CC-C01-D04,380270,2.27,BRL
B000060,C01,2025-07,OpenAI,T13,M21,CC-C01-D05,1789418,10.45,BRL
B000061,C01,2025-07,OpenAI,T13,M21,CC-C01-D06,1149106,6.3,BRL
B000062,C01,2025-08,Google Cloud,T12,M17,CC-C01-D02,798701,11.76,BRL
B000063,C01,2025-08,Google Cloud,T12,M17,CC-C01-D03,488071,7.93,BRL
B000064,C01,2025-08,Google Cloud,T12,M17,CC-C01-D04,375400,7.27,BRL
B000065,C01,2025-08,Google Cloud,T12,M17,CC-C01-D05,5112641,80.04,BRL
B000066,C01,2025-08,Google Cloud,T12,M17,CC-C01-D06,1149023,18.3,BRL
B000067,C01,2025-08,Google Cloud,T12,M17,CC-C01-D08,508021,11.26,BRL
B000068,C01,2025-08,Google Cloud,T12,M17,CC-C01-D10,141845,3.55,BRL
B000069,C01,2025-08,Google Cloud,T12,M17,,37243,0.39,BRL
B000070,C01,2025-08,Google Cloud,T12,M18,CC-C01-D05,2282581,13.2,BRL
B000071,C01,2025-08,Google Cloud,T12,M18,CC-C01-D06,808731,4.1,BRL
B000072,C01,2025-08,OpenAI,T13,M19,CC-C01-D01,987468,55.02,BRL
B000073,C01,2025-08,OpenAI,T13,M19,CC-C01-D02,561775,31.28,BRL
B000074,C01,2025-08,OpenAI,T13,M19,CC-C01-D05,2341686,124.91,BRL
B000075,C01,2025-08,OpenAI,T13,M19,CC-C01-D06,1155779,68.39,BRL
B000076,C01,2025-08,OpenAI,T13,M19,CC-C01-D07,148448,8.49,BRL
B000077,C01,2025-08,OpenAI,T13,M19,CC-C01-D08,1660370,94.46,BRL
B000078,C01,2025-08,OpenAI,T13,M19,CC-C01-D09,98295,3.88,BRL
B000079,C01,2025-08,OpenAI,T13,M19,,121924,7.21,BRL
B000080,C01,2025-08,OpenAI,T13,M20,CC-C01-D01,50886,0.17,BRL
B000081,C01,2025-08,OpenAI,T13,M20,CC-C01-D04,1332517,2.38,BRL
B000082,C01,2025-08,OpenAI,T13,M20,CC-C01-D05,2357910,4.94,BRL
B000083,C01,2025-08,OpenAI,T13,M20,CC-C01-D06,472509,1.11,BRL
B000084,C01,2025-08,OpenAI,T13,M20,CC-C01-D07,67501,0.11,BRL
B000085,C01,2025-08,OpenAI,T13,M20,CC-C01-D08,450420,0.78,BRL
B000086,C01,2025-08,OpenAI,T13,M20,CC-C01-D09,575378,0.89,BRL
B000087,C01,2025-08,OpenAI,T13,M20,,90537,0.22,BRL
B000088,C01,2025-08,OpenAI,T13,M21,CC-C01-D01,108809,0.55,BRL
B000089,C01,2025-08,OpenAI,T13,M21,CC-C01-D04,347600,1.83,BRL
B000090,C01,2025-08,OpenAI,T13,M21,CC-C01-D05,1987709,10.48,BRL
B000091,C01,2025-08,OpenAI,T13,M21,CC-C01-D06,84071,0.5,BRL
B000092,C01,2025-08,OpenAI,T13,M21,CC-C01-D07,323523,1.44,BRL
B000093,C01,2025-08,OpenAI,T13,M21,CC-C01-D08,1110533,7.38,BRL
B000094,C01,2025-08,OpenAI,T13,M21,CC-C01-D10,44422,0.28,BRL
B000095,C01,2025-09,Google Cloud,T12,M17,CC-C01-D01,1861831,23.33,BRL
B000096,C01,2025-09,Google Cloud,T12,M17,CC-C01-D02,116567,1.38,BRL
B000097,C01,2025-09,Google Cloud,T12,M17,CC-C01-D03,185828,4.75,BRL
B000098,C01,2025-09,Google Cloud,T12,M17,CC-C01-D04,888861,14.32,BRL
B000099,C01,2025-09,Google Cloud,T12,M17,CC-C01-D05,4010709,60.42,BRL
B000100,C01,2025-09,Google Cloud,T12,M17,CC-C01-D06,654173,10.23,BRL
B000101,C01,2025-09,Google Cloud,T12,M17,CC-C01-D09,145866,2.21,BRL
B000102,C01,2025-09,Google Cloud,T12,M18,CC-C01-D01,1176521,6.25,BRL
B000103,C01,2025-09,Google Cloud,T12,M18,CC-C01-D04,541061,3.04,BRL
B000104,C01,2025-09,Google Cloud,T12,M18,CC-C01-D05,1754240,9.12,BRL
B000105,C01,2025-09,Google Cloud,T12,M18,CC-C01-D06,935634,4.64,BRL
B000106,C01,2025-09,Google Cloud,T12,M18,CC-C01-D07,117875,0.61,BRL
B000107,C01,2025-09,Google Cloud,T12,M18,CC-C01-D08,82516,0.33,BRL
B000108,C01,2025-09,Google Cloud,T12,M18,CC-C01-D10,52362,0.33,BRL
B000109,C01,2025-09,Google Cloud,T12,M18,,9037,0.06,BRL
B000110,C01,2025-09,OpenAI,T13,M19,CC-C01-D01,2186533,97.35,BRL
B000111,C01,2025-09,OpenAI,T13,M19,CC-C01-D02,191863,12.33,BRL
B000112,C01,2025-09,OpenAI,T13,M19,CC-C01-D03,261344,13.93,BRL
B000113,C01,2025-09,OpenAI,T13,M19,CC-C01-D05,6071331,324.99,BRL
B000114,C01,2025-09,OpenAI,T13,M19,CC-C01-D06,1350833,73.85,BRL
B000115,C01,2025-09,OpenAI,T13,M19,CC-C01-D07,40294,2.32,BRL
B000116,C01,2025-09,OpenAI,T13,M19,CC-C01-D08,972645,59.59,BRL
