company_id,cost_center,year,month,budget_amount
C01,CC-C01-D01,2025,6,6357.74
C01,CC-C01-D01,2025,7,5010.27
C01,CC-C01-D01,2025,8,4951.49
C01,CC-C01-D01,2025,9,5077.4
C01,CC-C01-D01,2025,10,6195.12
C01,CC-C01-D01,2025,11,6194.0
C01,CC-C01-D01,2025,12,6043.95
C01,CC-C01-D01,2026,1,5765.76
C01,CC-C01-D01,2026,2,6525.72
C01,CC-C01-D01,2026,3,7591.15
C01,CC-C01-D01,2026,4,6657.19
C01,CC-C01-D01,2026,5,7386.92
C01,CC-C01-D01,2026,6,5828.79
C01,CC-C01-D01,2026,7,7474.71
C01,CC-C01-D02,2025,6,10449.61
C01,CC-C01-D02,2025,7,12769.52
C01,CC-C01-D02,2025,8,12903.97
C01,CC-C01-D02,2025,9,11489.99
C01,CC-C01-D02,2025,10,12875.17
C01,CC-C01-D02,2025,11,12170.83
C01,CC-C01-D02,2025,12,10430.14
C01,CC-C01-D02,2026,1,10385.36
C01,CC-C01-D02,2026,2,10633.15
C01,CC-C01-D02,2026,3,9843.23
C01,CC-C01-D02,2026,4,12120.72
C01,CC-C01-D02,2026,5,10936.15
C01,CC-C01-D02,2026,6,12033.8
C01,CC-C01-D02,2026,7,12772.64
C01,CC-C01-D03,2025,6,9903.18
C01,CC-C01-D03,2025,7,10551.97
C01,CC-C01-D03,2025,8,8366.34
C01,CC-C01-D03,2025,9,9361.5
C01,CC-C01-D03,2025,10,10111.33
C01,CC-C01-D03,2025,11,8569.04
C01,CC-C01-D03,2025,12,8981.81
C01,CC-C01-D03,2026,1,11638.55
C01,CC-C01-D03,2026,2,11356.0
C01,CC-C01-D03,2026,3,9842.14
C01,CC-C01-D03,2026,4,11578.52
C01,CC-C01-D03,2026,5,11760.84
C01,CC-C01-D03,2026,6,12122.7
C01,CC-C01-D03,2026,7,12555.5
C01,CC-C01-D04,2025,6,10732.75
C01,CC-C01-D04,2025,7,10909.37
C01,CC-C01-D04,2025,8,8962.94
C01,CC-C01-D04,2025,9,9967.89
C01,CC-C01-D04,2025,10,11202.21
