event_id,company_id,employee_id,timestamp,ai_tool_id,event_type,severity,policy_id,action_taken
SEC00001,C01,C01-E0271,2026-05-02 09:09:26,T02,Upload de Arquivo Bloqueado por Politica,Baixa,POL-DLP-004,Bloqueado
SEC00002,C01,C01-E0021,2026-06-13 07:40:47,T05,Upload de Arquivo Bloqueado por Politica,Baixa,POL-ACCESS-002,Bloqueado
SEC00003,C01,C01-E0172,2025-06-29 16:20:21,T13,Tentativa de Acesso Fora da Politica de Uso,Baixa,POL-ACCESS-002,Bloqueado
SEC00004,C01,C01-E0287,2025-12-08 21:23:55,T07,Bloqueio de Ferramenta Nao Autorizada,Baixa,POL-DATA-001,Bloqueado
SEC00005,C02,C02-E0066,2026-01-25 21:37:10,T08,Tentativa de Acesso Fora da Politica de Uso,Alta,POL-DATA-001,Bloqueado
SEC00006,C03,C03-E0008,2026-02-12 20:05:18,T05,Upload de Arquivo Bloqueado por Politica,Media,POL-DATA-001,Bloqueado
SEC00007,C03,C03-E0005,2025-08-23 21:19:41,T05,Upload de Arquivo Bloqueado por Politica,Media,POL-DLP-004,Bloqueado
SEC00008,C03,C03-E0035,2026-03-07 09:03:34,T02,Uso de Ferramenta Nao Aprovada Detectado (Shadow AI),Baixa,POL-DATA-001,Alertado - Sem Acao Automatica
SEC00009,C03,C03-E0010,2025-09-04 12:16:08,T03,Uso de Ferramenta Nao Aprovada Detectado (Shadow AI),Alta,POL-DLP-004,Bloqueado
SEC00010,C04,C04-E0058,2025-11-06 12:11:15,T09,Upload de Arquivo Bloqueado por Politica,Alta,POL-VENDOR-003,Bloqueado
SEC00011,C04,C04-E0008,2025-08-28 15:32:19,T03,Alerta de DLP - Possivel Dado Sensivel em Prompt,Baixa,POL-USO-005,Bloqueado
SEC00012,C04,C04-E0022,2026-06-03 15:53:07,T11,Bloqueio de Ferramenta Nao Autorizada,Baixa,POL-VENDOR-003,Bloqueado
SEC00013,C04,C04-E0089,2026-02-14 20:10:48,T01,Upload de Arquivo Bloqueado por Politica,Baixa,POL-VENDOR-003,Bloqueado
SEC00014,C05,C05-E0028,2026-07-19 16:11:06,T05,Bloqueio de Ferramenta Nao Autorizada,Alta,POL-ACCESS-002,Bloqueado
SEC00015,C06,C06-E0122,2026-03-23 16:38:06,T01,Upload de Arquivo Bloqueado por Politica,Media,POL-VENDOR-003,Bloqueado
SEC00016,C06,C06-E0157,2026-06-13 13:36:23,T02,Tentativa de Acesso Fora da Politica de Uso,Alta,POL-USO-005,Bloqueado
SEC00017,C06,C06-E0303,2026-01-23 07:39:20,T01,Uso de Ferramenta Nao Aprovada Detectado (Shadow AI),Baixa,POL-DATA-001,Bloqueado
SEC00018,C06,C06-E0297,2025-07-24 12:59:08,T08,Tentativa de Acesso Fora da Politica de Uso,Critica,POL-DLP-004,Escalado para Seguranca da Informacao
SEC00019,C07,C07-E0063,2026-06-28 10:39:13,T03,Upload de Arquivo Bloqueado por Politica,Media,POL-ACCESS-002,Bloqueado
SEC00020,C07,C07-E0038,2025-11-20 17:21:25,T03,Bloqueio de Ferramenta Nao Autorizada,Alta,POL-VENDOR-003,Bloqueado
SEC00021,C07,C07-E0044,2026-04-07 12:13:20,T04,Tentativa de Acesso Fora da Politica de Uso,Baixa,POL-ACCESS-002,Sessao Encerrada
SEC00022,C07,C07-E0048,2026-03-16 12:27:30,T03,Upload de Arquivo Bloqueado por Politica,Alta,POL-DLP-004,Bloqueado
